project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
UY FOREST PROD.TSP,Latin America and Caribbean,Uruguay,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,1997.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2007
National Roads Project,Europe and Central Asia,Albania,IBRD,,Other,Infrastructure,Transport,IDA,IPF,1996.0,2003.0,PPAR,Moderately Satisfactory,,,Satisfactory,,2007
AR-Decentralization & Improvement  of Secondary Educ. & Polymodal Education Development Project,Latin America and Caribbean,Argentina,IBRD,,Other,Human Development,Education,IBRD,IPF,1996.0,2004.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
National Biodiversity Project - PROBIO (GEF),Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,1996.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
Parana Rural Poverty Alleviation & Natural Resources Management Project,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1996.0,2006.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Negligible,2007
HUBEI URBAN ENVIRONMENT PROJECT,East Asia and Pacific,China,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1996.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
GH-Urban Env Sanitation 1 (BD FY06),Western and Central Africa,Ghana,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1996.0,2004.0,PPAR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2007
HN PUB SEC MOD TAC,Latin America and Caribbean,Honduras,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,1996.0,2000.0,PPAR,Unsatisfactory,Satisfactory,Unsatisfactory,Satisfactory,,2007
HN PUB SEC MOD SAC,Latin America and Caribbean,Honduras,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,DPF,1996.0,2002.0,PPAR,Unsatisfactory,Satisfactory,Unsatisfactory,Satisfactory,,2007
LA-LAND TITLING,East Asia and Pacific,Lao People's Democratic Republic,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1996.0,2006.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
Teacher Education and Teacher Deployment,South Asia,Sri Lanka,IDA,non-FCS,IDA non-FCS,Human Development,Education,IDA,IPF,1996.0,2006.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2007
MG-Energy Sec Dev Prj (FY96),Eastern and Southern Africa,Madagascar,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,1996.0,2006.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2007
FISCAL RESTR&DERE,Eastern and Southern Africa,Malawi,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1996.0,2001.0,PPAR,Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
MANILA SECOND SEWERAGE PROJECT,East Asia and Pacific,Philippines,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1996.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2007
Legal Reform Project,Europe and Central Asia,Russian Federation,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1996.0,2006.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2007
Uruguay Power Transmission & Distribution Project,Latin America and Caribbean,Uruguay,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,IPF,1996.0,2006.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2007
VN-POPULATION & FAMILY HEALTH,East Asia and Pacific,Viet Nam,IBRD,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1996.0,2004.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
ZM-ERIPTA (FY96),Eastern and Southern Africa,Zambia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1996.0,2006.0,ICRR,Moderately Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,,2007
AR-SECONDARY ED 1,Latin America and Caribbean,Argentina,IBRD,,Other,Human Development,Education,IBRD,IPF,1995.0,2001.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
GREATER BAKU WATER SUPPLY REHABILITATION PROJECT,Europe and Central Asia,Azerbaijan,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IDA,IPF,1995.0,2006.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2007
National Land Administration Project,Latin America and Caribbean,Bolivia,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1995.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
ENTERPRISE HOUSING AND SOCIAL SECURITY REFORM PROJECT,East Asia and Pacific,China,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1995.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
National Fertilizer Sector Project,Eastern and Southern Africa,Ethiopia,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1995.0,2002.0,PPAR,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,,2007
SEED SYSTEM DEVELOPMENT PROJECT,Eastern and Southern Africa,Ethiopia,IDA,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1995.0,2003.0,PPAR,Moderately Unsatisfactory,Moderately Satisfactory,Unsatisfactory,Moderately Unsatisfactory,,2007
INDUS POLLUTION PREVENTION,South Asia,India,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1995.0,2003.0,PPAR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2007
SOLID WASTE/ENVIRONMENT,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1995.0,2004.0,PPAR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2007
Agricultural Trading and Process Promotion Pilot Project,Western and Central Africa,Mali,IDA,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1995.0,2003.0,PPAR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,,2007
SHANGHAI ENVIRONMENT PROJECT,East Asia and Pacific,China,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1994.0,2003.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
CN - XIAOLANGDI RESETTLEMENT,East Asia and Pacific,China,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1994.0,2004.0,PPAR,Moderately Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Modest,2007
LB-TA FOR REVENUE ENHAN,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1994.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
Mali:AG. RESEARCH,Western and Central Africa,Mali,IDA,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1994.0,2002.0,PPAR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,,2007
Natural Resources Management Project,Latin America and Caribbean,Paraguay,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1994.0,2006.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2007
Financial Institutions Project,Europe and Central Asia,Russian Federation,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1994.0,2006.0,ICRR,Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
ASMP,Eastern and Southern Africa,Tanzania,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1994.0,2001.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
ZHEJIANG MULTICITIES DEVELOPMENT PROJECT,East Asia and Pacific,China,IBRD,,Other,Sustainable Development,Water,IDA,IPF,1993.0,2003.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
EMERGENCY RECOVERY,"Middle East, North Africa, Afghanistan, and Pakist",Lebanon,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1993.0,2002.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
Tianjin Urban Development and Environment Project,East Asia and Pacific,China,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992.0,2001.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2007
INDUSTRIAL POLLUTION CONTROL,South Asia,India,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1991.0,1999.0,PPAR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2007
INST. DEV. FOR PUB.,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1989.0,1999.0,PPAR,Highly Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2007
Development Support Credit II,South Asia,Bangladesh,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2005.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Education Sector Development Support Credit,South Asia,Bangladesh,IDA,,Other,Human Development,Education,IDA,DPF,2005.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
PROGRAMMATIC FISCAL AND INSTITUTIONAL STRUCTURAL ADJUSTMENT LOAN III,Latin America and Caribbean,Colombia,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2005.0,2005.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2006
GH: PRSC II,Western and Central Africa,Ghana,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,DPF,2005.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
First Development Policy Loan,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2005.0,2010.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Structural Adjustment Credit 2 (SAC 2) (Serbia),Europe and Central Asia,Serbia,Other,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2005.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Poverty Reduction Support Credit 2 (PRSC 2),Europe and Central Asia,Albania,IBRD,,Other,Human Development,Social Protection & Jobs,IDA,DPF,2004.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Programmatic Adjustment Loan 2 (PAL 2),Europe and Central Asia,Bulgaria,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2004.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
BO-Social Sector Programmatic Credit,Latin America and Caribbean,Bolivia,IBRD,,Other,Human Development,"Health, Nutrition & Population",IDA,DPF,2004.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Social Protection Sector Adjustment Loan - DDO,Latin America and Caribbean,Chile,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2004.0,2007.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Dominican Republic Social Crisis Response Adjustment Loan,Latin America and Caribbean,Dominican Republic,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2004.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Andhra Pradesh Economic Reform Program II,South Asia,India,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2004.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
NE - PEAC II - (Pub.Exp.Adj.Cr.),Western and Central Africa,Niger,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,DPF,2004.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Punjab Education Sector Adjustment Credit,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,Human Development,Education,IDA,DPF,2004.0,2005.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,,2006
NWFP SAC II,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2004.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Programmatic Social Reform III,Latin America and Caribbean,Peru,IBRD,,Other,Human Development,Social Protection & Jobs,IBRD,DPF,2004.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
PY Economic Recovery Loan,Latin America and Caribbean,Paraguay,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2004.0,2005.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,2006
WBG Pub Sec Fin Mgmt Ref Struc Adj Oper,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,,Other,"Equitable Growth, Finance and Institutions",Governance,SPF,DPF,2004.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Poverty Reduction Support Credit III,East Asia and Pacific,Viet Nam,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2004.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
WESTERN ALTIPLANO NATURAL RESOURCES MANAGEMENT PROJECT,Latin America and Caribbean,Guatemala,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2003.0,2005.0,ICRR,,Satisfactory,,Satisfactory,,2006
Private Sector Adjustment Loan 2 (PSAL 2),Europe and Central Asia,Latvia,Other,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2003.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Programmatic Environment Structural Adjustment Loan,Latin America and Caribbean,Mexico,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,DPF,2003.0,2004.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Sindh Structural Adjustment Credit,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2003.0,2003.0,PPAR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
NWFP Structural Adjustment Credit,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2003.0,2003.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Emergency Services Support Project II,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,,Other,Human Development,Social Protection & Jobs,SPF,IPF,2003.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Private Sector Adjustment Loan 2 (PAL 2),Europe and Central Asia,Romania,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2003.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
RWANDA - INSTITUTIONAL REFORM CREDIT,Eastern and Southern Africa,Rwanda,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2003.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Social Sector Adjustment Credit (SOSAC) (Serbia),Europe and Central Asia,Serbia,Other,,Other,Human Development,Social Protection & Jobs,IDA,DPF,2003.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Private & Financial Sector Adjustment Credit 2 (PFSAC 2),Europe and Central Asia,Serbia,Other,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,DPF,2003.0,2005.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,2006
SPECIAL STRUCTURAL ADJUSTMENT LOAN,Latin America and Caribbean,Uruguay,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2003.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Uruguay Structural Adjustment Loan (PREM),Latin America and Caribbean,Uruguay,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2003.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Uruguay Public Services and Social Sectors SSAL,Latin America and Caribbean,Uruguay,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,DPF,2003.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Emergency Drought Recovery Project,Eastern and Southern Africa,Zambia,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2003.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Emergency Community Empowerment and Public Works Project,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2002.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Emergency Public Administration Project,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2002.0,2006.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Financial Sector Adjustment Credit (FSAC),Europe and Central Asia,Albania,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,DPF,2002.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
AR SAL 1 (Federal Provincial Fiscal Relations),Latin America and Caribbean,Argentina,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2002.0,2003.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
Private Sector Credit Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2002.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Emergency Early Recovery Project,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2002.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Emergency Demobilization and Reintegration Project,Western and Central Africa,"Congo, Republic of",Blend,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2002.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Emergency Recovery Project,Latin America and Caribbean,Dominica,Blend,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2002.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
KE-Pub Sec Mgmt TAL (FY02),Eastern and Southern Africa,Kenya,Blend,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2002.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Laos PDR FMAC,East Asia and Pacific,Lao People's Democratic Republic,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2002.0,2004.0,ICRR,Unsatisfactory,Satisfactory,Satisfactory,Unsatisfactory,,2006
Financial Sector Supervisory Authority Project,Eastern and Southern Africa,Mauritius,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,2002.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
STRUCTURAL ADJUSTMENT CREDIT II,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2002.0,2003.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
Emergency Services Support Project,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,,Other,Human Development,Social Protection & Jobs,SPF,IPF,2002.0,2004.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Fiscal Federalism & Regional Fiscal Reform Project,Europe and Central Asia,Russian Federation,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2002.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Second Agriculture Rehabilitation Project,East Asia and Pacific,Timor-Leste,Blend,,Other,Sustainable Development,Agriculture and Food,SPF,IPF,2002.0,2005.0,PPAR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
THIRD COMMUNITY EMPOWERMENT AND LOCAL GOVERNANCE PROJECT,East Asia and Pacific,Timor-Leste,Blend,FCS,Blend FCS,Human Development,Social Protection & Jobs,SPF,IPF,2002.0,2006.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Canceled-UG-Bujagali Hydropower GU(FY02),Eastern and Southern Africa,Uganda,IDA,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,2002.0,,ICRR,,Satisfactory,,Satisfactory,,2006
Trade & Transport Facilitation in South East Europe Project,Europe and Central Asia,Albania,IBRD,,Other,Infrastructure,Transport,IDA,IPF,2001.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Local Initiatives (Microfinance) 2 Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2001.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Rural Poverty Reduction Project - Bahia,Latin America and Caribbean,Brazil,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2001.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
TRAS OS MONTES REG.,Europe and Central Asia,Portugal,Other,,Other,Other,Other,IBRD,IPF,1989.0,,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1998
Djibouti School Access and Improvement Program,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,,Other,Human Development,Education,IDA,IPF,2001.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Trade & Transport Facilitation in South East Europe,Europe and Central Asia,Croatia,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,2001.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
SECOND NATIONAL LEPROSY ELIMINATION PROJECT,South Asia,India,IBRD,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,2001.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Consolidation Structural Adjustment Credit (CSAC),Europe and Central Asia,Kyrgyz Republic,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2001.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
ROAD MAINTENANCE PROJECT,East Asia and Pacific,Lao People's Democratic Republic,IDA,,Other,Infrastructure,Transport,IDA,IPF,2001.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Sri Lanka: Distance Learning Project,South Asia,Sri Lanka,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2001.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Natural Disaster Management Project,Latin America and Caribbean,Mexico,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,2001.0,2005.0,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Satisfactory,Unsatisfactory,,2006
Structural Adjustment Credit,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2001.0,2002.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Land Administration and Management Project,East Asia and Pacific,Philippines,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2001.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Financial Sector Development TA Grant,Europe and Central Asia,Serbia,Other,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",SPF,IPF,2001.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Private Sector Development TA Grant,Europe and Central Asia,Serbia,Other,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",SPF,IPF,2001.0,2005.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,2006
Public Resource Management  - TA,Eastern and Southern Africa,Sao Tome and Principe,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2001.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
TP-SECOND COMMUNITY EMPOWERMENT PROJECT,East Asia and Pacific,Timor-Leste,Blend,FCS,Blend FCS,Human Development,Social Protection & Jobs,SPF,IPF,2001.0,2006.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
VU-SECOND EDUCATION PROJECT,East Asia and Pacific,Vanuatu,IDA,,Other,Human Development,Education,IDA,IPF,2001.0,2003.0,ICRR,,Unsatisfactory,,Unsatisfactory,,2006
