project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Economic and Social Development Policy Loan,Latin America and Caribbean,Grenada,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,GRD,771014814.814815,6909.60169568597,-0.511146187173722,3.43650905943351,,,-19.4482994535287,111586.0
Second Fiscal and Institutional Development Policy,Latin America and Caribbean,Guatemala,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,GTM,40676578423.4871,2805.25960237322,2.88417542800377,3.85950909833162,3.497,24.8169594138567,-1.88548550474234,14500112.0
HT 3rd Econ. Governance Reform Operation,Latin America and Caribbean,Haiti,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2010,2011.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2012,HTI,11859312725.1448,1209.72733503094,-5.65151153448299,4.82734190074673,15.252,,-0.85860185595704,9803294.0
Hungary - Financial Sector and Macro Stability Loan (DPL),Europe and Central Asia,Hungary,Other,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2010,2011.0,ICRR,Not Evaluated,Moderately Unsatisfactory,Not Evaluated,Moderately Unsatisfactory,Not Evaluated,2012,HUN,131898737241.166,13189.8433874768,1.06795068152046,4.85555795691956,11.172,81.4521758815481,-0.188218208390542,10000023.0
India First Statistical Strengthening Project,South Asia,India,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2010,2012.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,IND,1675615519484.96,1347.51939071367,8.49758470221235,11.9893899204244,7.652,51.5919103003897,-3.25348368945179,1243481564.0
HEALTH,Western and Central Africa,Niger,IDA,non-FCS,Other,Other,Other,IDA,IPF,1986,,EVM,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,Not Evaluated,1997,,,,,,,,,
Iraq Fiscal Sustainability Development Policy Loan,"Middle East, North Africa, Afghanistan, and Pakist",Iraq,IBRD,FCS,IBRD FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,IRQ,138516722649.573,4461.75196161555,6.40256484471193,,8.267,,4.68412757383414,31045366.0
Kazakhstan Dvelopment Policy Loan,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Not Evaluated,Satisfactory,Modest,2012,KAZ,148047348240.643,8793.07589980782,7.30000000329814,7.40046356341392,5.77,9.52296325134078,1.80897140296935,16836810.0
"Financial Sector DPL, Latvia",Europe and Central Asia,Latvia,Other,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2010,2010.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Substantial,2012,LVA,23468324572.3343,11188.4191700977,-3.66125859554762,-1.08463595015159,19.482,,1.75850166439734,2097555.0
Morocco  - Public Administration Reform IV,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2010,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,MAR,100865329473.44,3067.9853515625,3.49955709403216,0.993557401226421,9.09,47.0982656739638,-3.89149487244856,32467016.0
Economic Recovery Development Policy Oeration,Europe and Central Asia,Moldova,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2010,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2012,MDA,6974982369.60155,2436.79935102421,7.10000010705836,7.48385086350857,2.937,21.9325612593611,-6.90279523078091,2862354.0
MX Economic Policies in Response to the Crisis DPL,Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Satisfactory,Satisfactory,Moderately Satisfactory,Satisfactory,Substantial,2012,MEX,1105424238572.81,9728.80078237782,4.97133457799899,4.15672722680173,5.303,,-0.339592498699558,113623895.0
Influenza Prevention and Control,Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",IBRD,IPF,2010,2013.0,ICRR,Not Evaluated,Moderately Unsatisfactory,Not Evaluated,Not Evaluated,Not Evaluated,2012,MEX,1105424238572.81,9728.80078237782,4.97133457799899,4.15672722680173,5.303,,-0.339592498699558,113623895.0
Development Policy Loan,Europe and Central Asia,North Macedonia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,MKD,9407170321.37752,4833.36586759968,3.35875085773812,1.50997522027621,33.135,,-2.10791254447936,1946298.0
MW-PRSC-3,Eastern and Southern Africa,Malawi,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2010,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,MWI,10128323010.6049,683.124694716799,6.87406585416142,,4.798,19.2608300381554,-9.57007930375057,14826463.0
Financial Sector and Public Financial Management Development Policy Credit,Western and Central Africa,Nigeria,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,DPF,2010,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,NGA,366990417129.04,2202.25672957344,8.00565591628646,13.7400521363694,3.746,,3.57264829109626,166642886.0
Third Development Policy Loan,Europe and Central Asia,Poland,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2012,POL,478111630683.514,12567.7317676382,3.16892748258036,2.58069370250543,9.578,,-5.16657584018312,38042794.0
Sustaining Social Gains for Economic Recovery,Latin America and Caribbean,El Salvador,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2010,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2012,SLV,18447920000.0,3040.07300952878,2.15419536693635,1.17933576873673,4.893,57.4942866187624,-2.88821622788295,6068249.0
Second Programmatic Private Financial Development Policy Loan,Europe and Central Asia,Serbia,Other,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2010,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,SRB,43536629233.1424,5970.92660940072,1.61097266144839,6.14255360247247,19.204,,-6.18385847336539,7291436.0
Economic Recovery and Gov. Grant 3,Western and Central Africa,Togo,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2010,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,TGO,4746389531.6959,704.987164181378,5.85435269410561,1.44594517430866,2.383,,-4.21167550941686,6732590.0
Samoa Economic Crisis Recovery Support Credit,East Asia and Pacific,Samoa,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2010,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Negligible,2012,WSM,680260907.153983,3524.2479246203,6.1247199226125,0.777007268777691,5.621,,-9.0486988420524,193023.0
BI-ERSG II,Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2009,2009.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2012,BDI,1781455139.85931,199.097633037708,3.81274536633418,10.5554355299529,1.621,,-9.04769271099169,8947646.0
BI - Food Crisis Response Development Policy Grant,Eastern and Southern Africa,Burundi,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",SPF,DPF,2009,2010.0,PPAR,Unsatisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Unsatisfactory,Modest,2012,BDI,1781455139.85931,199.097633037708,3.81274536633418,10.5554355299529,1.621,,-9.04769271099169,8947646.0
RIO GRANDE DO SUL FISCAL SUSTAINABILITY,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2009,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2012,BRA,1666996438581.43,8678.6592244676,-0.125812002161169,4.88803479876799,9.419,,-1.7593578735281,192079951.0
DRC Emergency Project to Mitigate Impact of Financial Crisis,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2009,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2012,,,,,,,,,
Public Finance and Competitiveness Development Policy Loan with Deferred Drawdown Option,Latin America and Caribbean,Costa Rica,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2009,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,CRI,30745714312.6417,6832.69829924138,-0.873455942787785,7.84270167700653,7.824,,-1.82328161880324,4499791.0
GT Fiscal and Institutional DPL,Latin America and Caribbean,Guatemala,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2009,2010.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,GTM,37126148264.6383,2611.64632773352,0.476898106596394,1.85910254733029,3.208,23.3939731993278,0.194641494950958,14215611.0
Education TF Support Program BOS-KITA,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,RETF,IPF,2009,2010.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,IDN,539580085612.401,2218.48541852977,4.62887118256153,4.38641311792073,6.106,29.997306381567,1.9697705622352,243220028.0
Kenya Agricultural Input Supply Program,Eastern and Southern Africa,Kenya,Blend,non-FCS,Blend non-FCS,Sustainable Development,Agriculture and Food,SPF,IPF,2009,2010.0,ICRR,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,KEN,42347217912.9176,1047.9678324485,3.30693981631089,,2.818,,-3.98728888063669,40408891.0
MW-PRSC-2,Eastern and Southern Africa,Malawi,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2009,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,MWI,9009887946.82039,625.869729869625,8.3281098524038,,4.754,20.1151721657444,-6.03374203830181,14395788.0
Price Vulnerability (Food Crisis)  /former Product ID: P113225,Latin America and Caribbean,Nicaragua,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,SPF,IPF,2009,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,NIC,8298702489.0801,1467.08288052845,-3.2926651586197,3.68700160498796,8.16,,-8.45312867792372,5656601.0
FORESTRY ICP II,East Asia and Pacific,Indonesia,IBRD,non-FCS,Other,Other,Other,IBRD,IPF,1990,,EVM,Unsatisfactory,Unsatisfactory,Satisfactory,Not Evaluated,Not Evaluated,1996,IDN,106140727333.636,578.420121135382,7.24213163856464,7.8191975650563,,45.7414523316285,-2.81513051122,183501098.0
Pakistan Poverty Reduction and Economic Support Operation  (PRESO),"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2009,2010.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Moderately Unsatisfactory,Modest,2012,PAK,187337783856.466,963.788066395225,3.47255059567348,,0.535,,-2.13167355660601,194376534.0
"PUBLIC FINANCE MANAGEMENT, EMPLOYMENT, AND PRIVATE SECTOR DEVELOPMENT PROGRAMMATIC POLICY LOAN",Europe and Central Asia,Poland,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2009,2009.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2012,POL,440891472247.096,11556.3026866026,2.61512859291683,3.79539242483405,8.131,,-3.94518857698649,38151603.0
"Poland Employment, Entrepreneurship & Human Capital Dev. Policy Program DPL",Europe and Central Asia,Poland,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,DPF,2009,2010.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,High,2012,POL,440891472247.096,11556.3026866026,2.61512859291683,3.79539242483405,8.131,,-3.94518857698649,38151603.0
Paraguay Public Sector Reform,Latin America and Caribbean,Paraguay,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2009,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,PRY,22355151161.994,3941.84815479271,-0.261137328080281,2.59194673430567,5.46,,1.74082621108971,5671236.0
El Salvador Public Finance and Social Sector DPL,Latin America and Caribbean,El Salvador,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2009,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,SLV,17601620000.0,2910.18651752011,-2.10876837627522,,7.33,58.1469205675387,-1.77368032991474,6048279.0
SO Rapid Response Rehab of Rural Livel,Eastern and Southern Africa,Somalia,IDA,FCS,IDA FCS,Sustainable Development,Agriculture and Food,SPF,IPF,2009,2011.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,,,,,,,,,
Second Programmatic Private Financial Sector Development,Europe and Central Asia,Serbia,Other,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2009,2010.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,SRB,46955984409.7271,6414.0448463847,-3.14261046499367,8.11695092238082,16.116,,-5.96184093250948,7320807.0
TP-FTI Program 2009,East Asia and Pacific,Timor-Leste,Blend,FCS,Blend FCS,Human Development,Education,RETF,IPF,2009,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,TLS,726937800.0,686.579295832381,10.1469544183475,,3.291,,176.762854008732,1058782.0
Development Policy Lending  3 (DPL 3),Europe and Central Asia,Ukraine,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2009,2009.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,UKR,121552153444.124,2607.08764648438,-15.1364679101502,15.8811924594476,8.84,23.9900342329063,-1.42819353735104,46623731.0
DJIBOUTI -  Food Crisis Response Development Policy Grant,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",SPF,DPF,2008,2009.0,PPAR,Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Negligible,2012,DJI,999105339.267729,1119.15233346969,,,26.194,,-22.5587851004156,892734.0
Financial Sector Development Policy Loan II,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2008,2010.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,,,,,,,,,
Morocco - Public Adminstration Reform Loan III,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,2008,2009.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,MAR,101822906949.063,3183.20043945313,5.68453936284732,3.71484311494064,9.57,41.2851314683307,-4.4474051229375,31606767.0
Second Poverty Reduction Support Credit,Europe and Central Asia,Moldova,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2008,2009.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2012,MDA,6054824248.24221,2110.55305353857,7.80000014541523,12.783047261882,2.073,18.4425161310829,-16.1122760959283,2868833.0
MW-PRSC-1,Eastern and Southern Africa,Malawi,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2008,2008.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,MWI,7743617352.21427,554.048820396119,7.63973639944591,,4.814,,-8.95428978540152,13976417.0
Sao Tome Public and Natural Resource Management Development Policy Grant,Eastern and Southern Africa,Sao Tome and Principe,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2008,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,STP,188021165.00338,1081.8684584729,6.2287850696102,,15.426,,-49.7318439586792,173793.0
Development Policy Loan 2 (DPL 2),Europe and Central Asia,Ukraine,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2008,2008.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,UKR,188110390659.515,4017.806640625,2.24349159628288,25.226461707384,6.363,13.2299542095983,-6.79441468128891,46819175.0
OECS-Catastrophe Insurance,Latin America and Caribbean,OECS Countries,Other,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2007,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,,,,,,,,,
AF: Civil Service Reform Project,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2007,2012.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2012,AFG,9747886187.39393,376.223152003876,13.8263195471281,8.68057078513405,7.817,,,25909852.0
Micro and Small Enterprise Finance Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,2007,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,CHN,3604055822571.63,2734.72709877693,14.1499854947127,4.81676767378834,4.35,,9.79958953536148,1317885000.0
Growth and Social Protection Technical Assistance Credit,Latin America and Caribbean,Dominica,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2007,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,DMA,444685185.185185,6459.03503689609,5.3579375575878,3.63222129317821,,,-17.2068339558124,68847.0
Productive Safety Nets APL II,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2007,2010.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Substantial,2012,ETH,19707616772.7996,237.146255996319,11.4561670000235,17.2404008340898,2.347,,-4.20144598076542,83103217.0
Haiti Catastrophe Insurance,Latin America and Caribbean,Haiti,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2007,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,HTI,9228637767.69009,984.566983448521,4.70652994008303,6.55722772638066,16.8,,-0.929422111465849,9373296.0
Third Andhra Pradesh Economic Reform Loan/Credit,South Asia,India,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,2007,2010.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Substantial,2012,IND,1216736438834.96,1021.88707706826,7.6608150670107,6.37288135593232,7.561,57.4975363892468,-0.66371764877261,1190676021.0
First Water Sector Development Policy Loan,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,DPF,2007,2008.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,MAR,86947913286.728,2755.5859375,3.44106776690418,,9.56,46.3035380770239,-0.140355839695734,31186468.0
RURAL ROADS II,East Asia and Pacific,Philippines,IBRD,non-FCS,Other,Other,Other,IBRD,IPF,1986,,EVM,Satisfactory,Unsatisfactory,Satisfactory,Not Evaluated,Not Evaluated,1997,,,,,,,,,
Poverty Reduction Support Credit (PRSC),Europe and Central Asia,Moldova,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2007,2008.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2012,MDA,4401173151.93767,1531.21618590748,3.00000022585525,12.3671668414302,2.723,23.239565787011,-15.2482071673217,2874299.0
Road to Europe: Program of Accounting Reform and Institutional Strengthening (REPARIS),Europe and Central Asia,North Macedonia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,RETF,IPF,2007,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Negligible,2012,MKD,8336474973.72949,4204.11328760452,6.47348685752347,2.25175798305457,35.231,,-7.26623240489014,1982933.0
Institutional and Human Development in South Sudan,Eastern and Southern Africa,South Sudan,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,RETF,IPF,2007,2011.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2012,SSD,,,,,12.262,,,8388788.0
ARTF - Rural Water Supply and Sanitation Project,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,Sustainable Development,Water,RETF,IPF,2006,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,AFG,6971758282.29351,274.218553561575,5.35740324748592,6.78459655001656,7.914,,,25424094.0
Avian Influenza Control and Human Pandemic Preparedness and Response Project,Europe and Central Asia,Albania,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2006,2011.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,ALB,9150528132.17633,3057.77257038113,6.0189812403864,,15.626,,-7.33186374631583,2992547.0
Avian Influenza Preparedness Project,Europe and Central Asia,Armenia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2006,2011.0,PPAR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2012,ARM,6384452066.5146,2041.65267068997,13.1999999994661,,10.465,,-2.39537289745616,3127100.0
BR-Housing Sector TAL,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2006,2011.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Modest,2012,BRA,1107626541434.92,5934.14470924968,3.96198871122617,4.18356812896909,9.692,,0.9727105230346,186653106.0
Financial Sector Development Policy Loan,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2006,2007.0,PPAR,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,,,,,,,,,
Science & Technology Project,Europe and Central Asia,Croatia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,2006,2011.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,HRV,49590197656.5482,11502.753124287,5.0814659040727,3.18982591472949,11.13,,-7.88339836164573,4311159.0
HT Economic Governance TAG II,Latin America and Caribbean,Haiti,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2006,2011.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2012,HTI,7638739122.67242,828.805700289589,1.76875060288195,11.3452152244299,15.908,,-1.11312873282486,9216562.0
Community-based Settlement Reconstruction and Rehabilitation Project for NAD and NIAS,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",RETF,IPF,2006,2010.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,IDN,364570515618.357,1558.31562847163,5.50095178520348,13.108670985346,7.551,,2.97870868013903,233951652.0
Community Recovery in Earthquake Affected Areas through UPP,East Asia and Pacific,Indonesia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",RETF,IPF,2006,2010.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,IDN,364570515618.357,1558.31562847163,5.50095178520348,13.108670985346,7.551,,2.97870868013903,233951652.0
